Customer_ID,Gender,Age,Married,State,Number_of_Referrals,Tenure_in_Months,Value_Deal,Phone_Service,Multiple_Lines,Internet_Service,Internet_Type,Online_Security,Online_Backup,Device_Protection_Plan,Premium_Support,Streaming_TV,Streaming_Movies,Streaming_Music,Unlimited_Data,Contract,Paperless_Billing,Payment_Method,Monthly_Charge,Total_Charges,Total_Refunds,Total_Extra_Data_Charges,Total_Long_Distance_Charges,Total_Revenue,Customer_Status,Churn_Category,Churn_Reason
11770-PUN,Male,38,Yes,Punjab,2,4,None,Yes,No,No,None,No,No,No,No,No,No,No,No,"Two Year",No,"Credit Card",20.15,970.85,0,0,947.5,1918.35,Stayed,Others,Others
11799-MAH,Male,45,No,Maharashtra,5,23,None,Yes,Yes,Yes,"Fiber Optic",Yes,No,Yes,Yes,Yes,No,No,Yes,Month-to-Month,No,"Bank Withdrawal",99.4,5943.65,0,0,924.15,6867.8,Stayed,Others,Others
11799-TAM,Male,33,No,"Tamil Nadu",9,20,None,No,No,Yes,DSL,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,"Mailed Check",45.3,45.3,0,0,0,45.3,Churned,Competitor,"Competitor had better devices"
11802-TAM,Male,34,No,"Tamil Nadu",0,8,"Deal 2",Yes,Yes,No,None,No,No,No,No,No,No,No,No,"Two Year",No,"Credit Card",25.55,1336.1,37.37,0,1765.43,3064.16,Stayed,Others,Others
11814-GUJ,Female,45,Yes,Gujarat,12,9,None,Yes,Yes,Yes,"Fiber Optic",No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,"Bank Withdrawal",105.55,6281.45,0,0,2787.7,9069.15,Churned,Competitor,"Competitor had better devices"
11850-MAH,Male,74,Yes,Maharashtra,5,6,None,Yes,Yes,Yes,DSL,Yes,No,Yes,Yes,No,Yes,No,Yes,"Two Year",No,"Credit Card",75.15,3480.35,0,0,422.55,3902.9,Stayed,Others,Others
11873-HAR,Male,45,Yes,Haryana,9,10,"Deal 2",Yes,No,Yes,DSL,No,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,"Credit Card",50.25,2221.55,0,0,292.05,2513.6,Stayed,Others,Others
11878-RAJ,Male,75,Yes,Rajasthan,15,17,None,Yes,No,Yes,"Fiber Optic",No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,"Bank Withdrawal",71.8,1167.8,0,0,734.4,1902.2,Churned,Competitor,"Competitor offered more data"
11882-BIH,Female,74,No,Bihar,14,15,"Deal 5",Yes,No,Yes,"Fiber Optic",No,No,No,No,No,Yes,No,Yes,Month-to-Month,No,"Bank Withdrawal",78.95,378.4,0,0,61.35,439.75,Churned,Attitude,"Attitude of support person"
11887-MAD,Female,33,No,"Madhya Pradesh",2,33,"Deal 2",Yes,No,Yes,DSL,No,Yes,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,"Credit Card",69.1,3168,0,0,1466.48,4634.48,Stayed,Others,Others
11899-MAH,Male,74,No,Maharashtra,3,11,"Deal 2",Yes,Yes,Yes,"Fiber Optic",No,No,Yes,Yes,Yes,Yes,No,Yes,"One Year",Yes,"Bank Withdrawal",103.9,6767.1,0,0,102.7,6869.8,Stayed,Others,Others
11906-MAD,Female,53,No,"Madhya Pradesh",2,29,None,Yes,No,Yes,"Fiber Optic",No,No,No,No,No,Yes,Yes,No,Month-to-Month,Yes,"Bank Withdrawal",79.3,523.15,0,10,134.47,667.62,Churned,Competitor,"Competitor had better devices"
11918-UTT,Male,66,No,"Uttar Pradesh",13,32,"Deal 3",Yes,Yes,Yes,"Fiber Optic",Yes,Yes,No,No,No,Yes,No,Yes,"One Year",Yes,"Bank Withdrawal",94.55,3365.4,0,0,715.4,4080.8,Stayed,Others,Others
11920-HAR,Female,61,Yes,Haryana,10,24,"Deal 5",Yes,Yes,Yes,DSL,No,No,No,Yes,Yes,No,No,Yes,Month-to-Month,Yes,"Bank Withdrawal",63.6,155.65,0,0,10.92,166.57,Churned,Competitor,"Competitor offered higher download speeds"
11922-PUN,Female,48,Yes,Punjab,5,2,None,Yes,Yes,Yes,"Fiber Optic",Yes,No,Yes,No,Yes,Yes,Yes,Yes,"Two Year",Yes,"Credit Card",105,7589.8,0,0,473.76,8063.56,Stayed,Others,Others
11925-MAH,Female,78,Yes,Maharashtra,12,12,None,Yes,Yes,No,None,No,No,No,No,No,No,No,No,"One Year",No,"Bank Withdrawal",25.2,1306.3,0,0,1571.5,2877.8,Stayed,Others,Others
11939-UTT,Male,65,Yes,"Uttar Pradesh",5,5,None,Yes,No,Yes,"Fiber Optic",No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,"Credit Card",80.45,583.45,0,0,215.92,799.37,Churned,Other,"Don't know"
11952-RAJ,Female,45,No,Rajasthan,3,10,None,Yes,No,Yes,Cable,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Month-to-Month,Yes,"Credit Card",71.35,515.75,0,0,349.86,865.61,Stayed,Others,Others
11952-TEL,Female,42,Yes,Telangana,0,4,"Deal 4",Yes,Yes,Yes,"Fiber Optic",No,Yes,Yes,No,No,Yes,Yes,Yes,Month-to-Month,Yes,"Credit Card",95.6,1555.65,0,0,303.84,1859.49,Churned,Attitude,"Attitude of service provider"
11958-TAM,Female,29,No,"Tamil Nadu",2,23,None,Yes,Yes,Yes,"Fiber Optic",Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,"Credit Card",108.45,4964.7,0,0,268.65,5233.35,Stayed,Others,Others
11965-BIH,Female,38,Yes,Bihar,4,21,"Deal 3",Yes,Yes,Yes,"Fiber Optic",Yes,No,No,No,Yes,Yes,Yes,No,Month-to-Month,Yes,"Credit Card",-8,3204.65,35.82,110,1074.24,4353.07,Churned,Competitor,"Competitor made better offer"
11987-PUN,Female,43,No,Punjab,14,6,None,Yes,No,Yes,DSL,Yes,Yes,Yes,No,Yes,No,No,Yes,"One Year",No,"Bank Withdrawal",69.45,477.05,0,0,132.37,609.42,Stayed,Others,Others
11991-RAJ,Male,66,Yes,Rajasthan,14,15,"Deal 2",Yes,Yes,Yes,"Fiber Optic",Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,"One Year",No,"Bank Withdrawal",113.35,7222.75,0,20,437.12,7679.87,Stayed,Others,Others
12016-TAM,Female,57,Yes,"Tamil Nadu",0,9,"Deal 5",Yes,No,No,None,No,No,No,No,No,No,No,No,Month-to-Month,No,"Mailed Check",20.05,164.85,0,0,337.54,502.39,Churned,Other,Moved
12052-PUN,Female,33,No,Punjab,11,31,None,Yes,Yes,Yes,"Fiber Optic",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"One Year",Yes,"Bank Withdrawal",115,7396.15,0,0,2972.16,10368.31,Stayed,Others,Others
12069-UTT,Female,30,Yes,"Uttar Pradesh",10,14,"Deal 4",Yes,No,Yes,DSL,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,"Bank Withdrawal",59.65,683.25,0,0,232.54,915.79,Stayed,Others,Others
12079-MAH,Female,73,Yes,Maharashtra,2,4,None,Yes,No,Yes,"Fiber Optic",No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,"Bank Withdrawal",79.9,260.9,0,0,8.94,269.84,Churned,Price,"Price too high"
12112-MAD,Female,27,No,"Madhya Pradesh",14,4,"Deal 5",Yes,No,No,None,No,No,No,No,No,No,No,No,Month-to-Month,No,"Credit Card",20.45,150.75,0,0,40.88,191.63,Stayed,Others,Others
12118-TAM,Female,23,No,"Tamil Nadu",7,3,"Deal 2",Yes,Yes,Yes,"Fiber Optic",No,No,No,No,No,Yes,Yes,Yes,"One Year",No,"Bank Withdrawal",85.55,5084.65,0,0,407.69,5492.34,Churned,Competitor,"Competitor offered more data"
12149-JAM,Female,66,Yes,"Jammu & Kashmir",7,26,"Deal 5",Yes,Yes,Yes,"Fiber Optic",Yes,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,"Bank Withdrawal",84.5,453.75,0,0,184.4,638.15,Churned,Competitor,"Competitor made better offer"
12170-AND,Female,38,Yes,"Andhra Pradesh",15,2,"Deal 4",Yes,Yes,Yes,Cable,Yes,Yes,No,Yes,Yes,No,No,No,"One Year",No,"Mailed Check",77.5,1625,18.39,80,368.97,2055.58,Churned,Other,"Don't know"
12193-KER,Male,56,Yes,Kerala,15,4,"Deal 2",Yes,Yes,Yes,"Fiber Optic",Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,"One Year",Yes,"Credit Card",109.15,6557.75,0,0,2387.73,8945.48,Stayed,Others,Others
12210-AND,Male,66,No,"Andhra Pradesh",9,31,None,No,No,Yes,DSL,No,Yes,Yes,No,No,No,No,Yes,Month-to-Month,Yes,"Credit Card",34.3,577.15,0,0,0,577.15,Stayed,Others,Others
12210-DEL,Female,52,No,Delhi,0,31,None,Yes,No,No,None,No,No,No,No,No,No,No,No,"Two Year",No,"Bank Withdrawal",20.3,224.5,0,0,231.36,455.86,Stayed,Others,Others
12225-TAM,Female,25,No,"Tamil Nadu",13,14,"Deal 1",Yes,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,"Two Year",Yes,"Mailed Check",85.25,5714.2,1.31,0,583.57,6296.46,Stayed,Others,Others
12236-BIH,Female,34,Yes,Bihar,5,11,"Deal 5",Yes,No,Yes,"Fiber Optic",No,Yes,No,No,Yes,No,No,No,Month-to-Month,Yes,"Credit Card",85.3,420.45,0,10,228.7,659.15,Stayed,Others,Others
12255-KER,Female,54,Yes,Kerala,8,2,"Deal 1",Yes,No,No,None,No,No,No,No,No,No,No,No,"One Year",Yes,"Bank Withdrawal",20.35,1359.5,0,0,2971.98,4331.48,Stayed,Others,Others
12266-HAR,Female,46,No,Haryana,2,5,None,Yes,Yes,Yes,DSL,No,Yes,No,Yes,Yes,Yes,Yes,Yes,"Two Year",No,"Bank Withdrawal",79.65,3870.3,0,0,429.12,4299.42,Stayed,Others,Others
12272-WES,Male,66,No,"West Bengal",9,8,None,No,No,Yes,DSL,Yes,Yes,No,Yes,No,No,No,No,"Two Year",No,"Credit Card",39.1,1982.1,0,130,0,2112.1,Stayed,Others,Others
12281-RAJ,Male,80,No,Rajasthan,14,25,None,Yes,Yes,Yes,"Fiber Optic",No,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,"Credit Card",78.1,864.85,0,0,194.26,1059.11,Stayed,Others,Others
12296-MAD,Male,65,Yes,"Madhya Pradesh",14,2,None,No,No,Yes,Cable,Yes,No,Yes,No,No,Yes,No,Yes,"One Year",Yes,"Bank Withdrawal",45,1228.65,0,0,0,1228.65,Stayed,Others,Others
12303-BIH,Female,56,No,Bihar,7,14,None,Yes,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Two Year",No,"Credit Card",88.55,6362.35,0,0,3319.2,9681.55,Stayed,Others,Others
12305-AND,Male,28,Yes,"Andhra Pradesh",13,22,None,Yes,No,No,None,No,No,No,No,No,No,No,No,"One Year",Yes,"Credit Card",20.35,422.7,0,0,473.13,895.83,Stayed,Others,Others
12337-MAH,Male,28,No,Maharashtra,11,8,"Deal 4",Yes,Yes,Yes,DSL,No,Yes,No,Yes,No,No,No,Yes,Month-to-Month,Yes,"Credit Card",58.6,939.7,0,0,221.85,1161.55,Churned,Dissatisfaction,"Service dissatisfaction"
12341-HAR,Female,38,No,Haryana,9,29,"Deal 4",Yes,Yes,Yes,"Fiber Optic",No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,No,"Bank Withdrawal",83.05,1799.3,0,0,252.12,2051.42,Stayed,Others,Others
12342-KER,Male,76,No,Kerala,9,3,"Deal 1",Yes,Yes,Yes,"Fiber Optic",No,Yes,No,No,Yes,Yes,No,Yes,"Two Year",Yes,"Credit Card",99.65,6951.15,3.33,0,2439.56,9387.38,Stayed,Others,Others
12345-TEL,Female,71,Yes,Telangana,9,34,None,Yes,Yes,Yes,Cable,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,"Bank Withdrawal",95.25,1233.65,48.09,0,412.1,1597.66,Churned,Competitor,"Competitor had better devices"
12370-JAM,Female,49,Yes,"Jammu & Kashmir",2,29,None,Yes,Yes,Yes,"Fiber Optic",No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,"Bank Withdrawal",85.95,381.3,0,0,16.56,397.86,Churned,Competitor,"Competitor made better offer"
12377-JAM,Female,56,No,"Jammu & Kashmir",2,3,None,Yes,No,No,None,No,No,No,No,No,No,No,No,Month-to-Month,No,"Bank Withdrawal",19.4,641.15,0,0,395.2,1036.35,Stayed,Others,Others
12377-UTT,Female,18,No,"Uttar Pradesh",15,2,None,Yes,Yes,No,None,No,No,No,No,No,No,No,No,"One Year",No,"Credit Card",24.35,538.5,0,0,1104.46,1642.96,Stayed,Others,Others
12378-KAR,Female,46,Yes,Karnataka,7,20,"Deal 3",Yes,No,Yes,"Fiber Optic",No,Yes,No,Yes,Yes,No,No,Yes,"One Year",Yes,"Bank Withdrawal",91.25,2483.65,0,0,383.32,2866.97,Stayed,Others,Others
12382-WES,Male,33,No,"West Bengal",10,7,None,Yes,No,Yes,Cable,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,"Two Year",No,"Credit Card",81,3084.9,0,0,837.9,3922.8,Stayed,Others,Others
12390-KAR,Male,24,Yes,Karnataka,9,12,None,Yes,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,No,Yes,"Two Year",Yes,"Credit Card",66.5,4811.6,45.61,0,438.48,5204.47,Stayed,Others,Others
12391-TEL,Male,40,No,Telangana,9,24,None,Yes,No,No,None,No,No,No,No,No,No,No,No,"One Year",Yes,"Credit Card",19.8,572.2,0,0,1337.48,1909.68,Stayed,Others,Others
12426-KER,Male,35,No,Kerala,12,30,None,Yes,Yes,Yes,"Fiber Optic",No,Yes,No,No,No,Yes,Yes,No,"One Year",No,"Credit Card",90.45,5825.5,0,100,580.23,6505.73,Stayed,Others,Others
12429-JAM,Female,54,Yes,"Jammu & Kashmir",6,16,None,Yes,Yes,No,None,No,No,No,No,No,No,No,No,Month-to-Month,No,"Bank Withdrawal",24.25,838.5,0,0,329.01,1167.51,Stayed,Others,Others
12437-TAM,Female,41,Yes,"Tamil Nadu",15,20,"Deal 2",Yes,No,No,None,No,No,No,No,No,No,No,No,"Two Year",Yes,"Credit Card",20.5,1035.7,0,0,584.82,1620.52,Stayed,Others,Others
12443-AND,Female,48,Yes,"Andhra Pradesh",15,9,"Deal 5",Yes,No,Yes,"Fiber Optic",No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,No,"Credit Card",-7,80.15,0,0,4.67,84.82,Churned,Attitude,"Attitude of support person"
12476-HAR,Female,50,No,Haryana,1,21,"Deal 4",Yes,No,No,None,No,No,No,No,No,No,No,No,"One Year",No,"Bank Withdrawal",19.8,202.25,0,0,132.48,334.73,Stayed,Others,Others
12505-GUJ,Male,29,No,Gujarat,0,7,None,Yes,No,Yes,"Fiber Optic",No,Yes,No,No,Yes,Yes,Yes,Yes,Month-to-Month,No,"Bank Withdrawal",95.65,167.3,0,0,33.52,200.82,Churned,Dissatisfaction,"Limited range of services"
12510-MAH,Male,44,Yes,Maharashtra,14,33,"Deal 1",Yes,Yes,Yes,"Fiber Optic",No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Two Year",Yes,"Bank Withdrawal",112.25,8041.65,0,0,839.52,8881.17,Stayed,Others,Others
12511-DEL,Male,50,Yes,Delhi,2,18,None,Yes,Yes,Yes,DSL,Yes,Yes,No,No,Yes,Yes,Yes,No,"One Year",No,"Bank Withdrawal",78.4,1832.4,0,130,758.88,2721.28,Stayed,Others,Others
12513-MAH,Female,18,No,Maharashtra,3,3,None,Yes,Yes,Yes,"Fiber Optic",No,Yes,Yes,No,Yes,Yes,Yes,No,"Two Year",No,"Bank Withdrawal",104.7,6333.8,0,150,2128.2,8612,Stayed,Others,Others
